"Sum - Count","Classification",,,,
"Date","<b>Unable to connect to Rserve</b> (result=-1, socket:unknown socket error 2).
","don't know...","food poisoning tweet","not a food poisoning tweet","Total Result"
"10/29/2013",,,7,2,9
"10/30/2013",,,1,3,4
"10/31/2013",,,3,2,5
"11/1/2013",,,7,3,10
"11/2/2013",,,7,4,11
"11/3/2013",,,1,79,80
"11/4/2013",,,1,9,10
"11/5/2013",,,6,5,11
"11/6/2013",,,3,7,10
"11/7/2013",,,2,12,14
"11/8/2013",,,7,8,15
"11/9/2013",,,4,2,6
"11/10/2013",,,9,13,22
"11/11/2013",,1,34,101,136
"11/12/2013",,,7,9,16
"11/13/2013",,,5,6,11
"11/14/2013",,,4,5,9
"11/15/2013",,,7,3,10
"11/16/2013",,,1,4,5
"11/17/2013",,,10,6,16
"11/18/2013",,1,4,4,9
"11/19/2013",,,4,7,11
"11/20/2013",,,5,,5
"11/21/2013",,,6,3,9
"11/22/2013",,,5,4,9
"11/23/2013",,,6,3,9
"11/24/2013",,,3,2,5
"11/25/2013",,,4,2,6
"11/26/2013",,,6,5,11
"11/27/2013",,,7,2,9
"11/28/2013",,,7,5,12
"11/29/2013",,,5,6,11
"11/30/2013",,,5,11,16
"12/1/2013",,,6,6,12
"12/2/2013",,,7,7,14
"12/3/2013",,,10,3,13
"12/4/2013",,1,9,6,16
"12/5/2013",,,6,5,11
"12/6/2013",,,8,6,14
"12/7/2013",,,4,7,11
"12/8/2013",,,4,5,9
"12/9/2013",,,9,12,21
"12/10/2013",,,6,6,12
"12/11/2013",,,11,8,19
"12/12/2013",,,3,6,9
"12/13/2013",,1,5,9,15
"12/14/2013",,,3,4,7
"12/15/2013",,,,8,8
"12/16/2013",,,6,4,10
"12/17/2013",,,8,3,11
"12/18/2013",,1,12,13,26
"12/19/2013",,,8,3,11
"12/20/2013",,,7,5,12
"12/21/2013",,,5,2,7
"12/22/2013",,,5,4,9
"12/23/2013",,,9,4,13
"12/24/2013",,,8,3,11
"12/25/2013",,,4,5,9
"12/26/2013",,,12,10,22
"12/27/2013",,,15,9,24
"12/28/2013",,,8,7,15
"12/29/2013",,,8,9,17
"12/30/2013",,,9,4,13
"12/31/2013",,,10,8,18
"1/1/2014",,1,7,7,15
"1/2/2014",,1,9,5,15
"1/3/2014",,,8,2,10
"1/4/2014",,,7,9,16
"1/5/2014",,,5,3,8
"1/6/2014",,,5,2,7
"1/7/2014",,,1,7,8
"1/8/2014",,,3,3,6
"1/9/2014",,,8,2,10
"1/10/2014",,,2,4,6
"1/11/2014",,,7,2,9
"1/12/2014",,,6,1,7
"1/13/2014",,,6,2,8
"1/14/2014",,,2,4,6
"1/15/2014",,,4,3,7
"1/16/2014",,,1,3,4
"1/17/2014",,,,2,2
"1/18/2014",,,7,3,10
"1/19/2014",,1,3,2,6
"1/20/2014",,,5,3,8
"1/21/2014",,,7,6,13
"1/22/2014",,,4,1,5
"1/23/2014",,,6,3,9
"1/24/2014",,,6,2,8
"1/25/2014",,,4,3,7
"1/26/2014",,,10,23,33
"1/27/2014",,,5,5,10
"1/28/2014",,,4,4,8
"1/29/2014",,,1,4,5
"1/30/2014",,,4,4,8
"1/31/2014",,,3,1,4
"2/1/2014",,,8,22,30
"2/2/2014",,1,2,1,4
"2/3/2014",,,7,5,12
"2/4/2014",,,7,5,12
"2/5/2014",,1,5,7,13
"2/6/2014",,,1,15,16
"2/7/2014",,,4,7,11
"2/8/2014",,,5,5,10
"2/9/2014",,,3,1,4
"2/10/2014",,1,8,6,15
"2/11/2014",,1,4,2,7
"2/12/2014",,,2,13,15
"2/13/2014",,,5,15,20
"2/14/2014",,,4,8,12
"2/15/2014",,,4,3,7
"2/16/2014",,,2,9,11
"2/17/2014",,,6,,6
"2/18/2014",,,7,6,13
"2/19/2014",,,4,2,6
"2/20/2014",,,4,5,9
"2/21/2014",,,2,5,7
"2/22/2014",,,4,7,11
"2/23/2014",,,5,9,14
"2/24/2014",,,6,3,9
"2/25/2014",,,9,3,12
"2/26/2014",,,5,8,13
"2/27/2014",,1,6,1,8
"2/28/2014",,,7,7,14
"3/1/2014",,,5,3,8
"3/2/2014",,,7,5,12
"3/3/2014",,,10,5,15
"3/4/2014",,,14,3,17
"3/5/2014",,,11,7,18
"3/6/2014",,,4,3,7
"3/7/2014",,,13,3,16
"3/8/2014",,,7,2,9
"3/9/2014",,,5,18,23
"3/10/2014",,,5,14,19
"3/11/2014",,,9,9,18
"3/12/2014",,,10,6,16
"3/13/2014",,,7,3,10
"3/14/2014",,,4,1,5
"3/15/2014",,,5,2,7
"3/16/2014",,,11,11,22
"3/17/2014",,,7,6,13
"3/18/2014",,1,5,2,8
